Gene Symbol,Gene ID,Interaction Count,Organism Count
SP3,6670,6,1
SQSTM1,8878,6,1
TFF1,7031,6,1
TLR2,7097,6,2
TNFRSF1A,7132,6,3
TXNIP,10628,6,2
VDR,7421,6,1
XIAP,331,6,3
ACE,1636,5,2
ADIPOQ,9370,5,2
ALPL,249,5,1
AQP5,362,5,1
BAK1,578,5,3
BMP6,654,5,1
CASP6,839,5,3
CCNA2,890,5,2
CCND2,894,5,2
CYP2C9,1559,5,1
ELK1,2002,5,1
EPO,2056,5,1
F3,2152,5,1
FADD,8772,5,1
FOXO1,2308,5,3
G3BP1,10146,5,1
GADD45A,1647,5,2
IDO1,3620,5,2
INSR,3643,5,2
JAK1,3716,5,2
KITLG,4254,5,2
LYN,4067,5,1
MAP2K4,6416,5,2
MYD88,4615,5,2
NOTCH1,4851,5,1
NT5E,4907,5,2
PKM,5315,5,1
PRDX2,7001,5,2
PRDX5,25824,5,2
PRL,5617,5,3
PTGS1,5742,5,3
SCNN1A,6337,5,3
SELP,6403,5,3
SERPIND1,3053,5,1
SLC22A2,6582,5,3
SLC2A1,6513,5,1
SLC2A9,56606,5,3
SLCO2B1,11309,5,1
SNAI1,6615,5,2
SULT1A1,6817,5,2
TBC1D4,9882,5,1
TGM2,7052,5,3
TNFRSF10A,8797,5,1
TP53I3,9540,5,1
UGT1A10,54575,5,2
AFP,174,4,1
AHRR,57491,4,1
ALOX5,240,4,1
AQP1,358,4,1
AQP2,359,4,1
AQP7,364,4,1
ARHGDIB,397,4,2
ARNT,405,4,1
ATF6,22926,4,2
ATP6,4508,4,2
AXIN2,8313,4,2
BUB1,699,4,1
CBR1,873,4,1
CDC25C,995,4,1
CDK4,1019,4,1
CDKN2B,1030,4,2
CFLAR,8837,4,2
CKB,1152,4,2
CLDN1,9076,4,2
COMT,1312,4,2
CTSD,1509,4,1
CYBA,1535,4,2
CYBB,1536,4,3
DHRS11,79154,4,2
EIF2AK3,9451,4,2
EPAS1,2034,4,1
EPHX2,2053,4,3
GPER1,2852,4,1
GPR35,2859,4,2
GPX3,2878,4,3
GSTA5,221357,4,1
H2AX,3014,4,3
HK2,3099,4,1
HMGCR,3156,4,2
HNRNPA2B1,3181,4,2
HSD17B1,3292,4,1
HSP90AB1,3326,4,2
IGFBP3,3486,4,2
IL1R1,3554,4,2
ITGB3,3690,4,2
KRAS,3845,4,1
LCT,3938,4,2
LYZ,4069,4,2
MGL2,216864,4,1
MT2A,4502,4,2
ND2,4536,4,2
NR3C1,2908,4,3
PCK1,5105,4,4
PDGFB,5155,4,2
PIK3CA,5290,4,3
