Gene Symbol,Gene ID,Interaction Count,Organism Count
AHNAK,79026,1,1
AHNAK2,113146,1,1
AHSG,197,1,1
AIG1,51390,1,1
AIMP1,9255,1,1
AIR,7808,1,1
AJUBA,84962,1,1
AK3,50808,1,1
AKAP12,9590,1,1
AKIRIN1,79647,1,1
AKIRIN2,55122,1,1
AKR1B1,231,1,1
AKR1C14,105387,1,1
AKR1C2,1646,1,1
AKR1C6,83702,1,1
AKR1D1,6718,1,1
AKR1E2,83592,1,1
AKR7A5,110198,1,1
AKT1S1,84335,1,1
ALAS1,211,1,1
ALDH1A1,216,1,1
ALDH3A2,224,1,1
ALDH5A1,7915,1,1
ALDH6A1,4329,1,1
ALDH7A1,501,1,1
ALDH8A1,64577,1,1
ALDH9A1,223,1,1
ALDOC,230,1,1
ALG10,84920,1,1
ALG13,79868,1,1
ALG14,199857,1,1
ALG6,29929,1,1
ALKAL2,285016,1,1
ALKBH7,84266,1,1
ALMS1,7840,1,1
ALOX5AP,241,1,1
ALPK2,115701,1,1
ALT,42127,1,1
ALYREF,10189,1,1
AMACR,23600,1,1
AMDHD1,144193,1,1
AMMECR1,9949,1,1
AMN1,196394,1,1
AMOTL2,51421,1,1
AMPD2,271,1,1
AMPD3,272,1,1
AMT,275,1,1
ANAPC1,64682,1,1
ANAPC10,10393,1,1
ANAPC15,25906,1,1
ANAPC4,29945,1,1
ANG,283,1,1
ANGPTL4,51129,1,1
ANGPTL8,55908,1,1
ANK2,287,1,1
ANKEF1,63926,1,1
ANKHD1,54882,1,1
ANKMY2,57037,1,1
ANKRA2,57763,1,1
ANKRD10,55608,1,1
ANKRD12,23253,1,1
ANKRD13C-DT,11147,1,1
ANKRD16,54522,1,1
ANKRD26,22852,1,1
ANKRD37,353322,1,1
ANKS4B,257629,1,1
ANO1,55107,1,1
ANP32A,8125,1,1
ANP32E,81611,1,1
ANPEP,290,1,1
ANTXR2,118429,1,1
ANXA3,306,1,1
ANXA4,307,1,1
ANXA5,308,1,1
ANXA6,309,1,1
ANXA8,653145,1,1
AOC2,314,1,1
AOX1,316,1,1
AP1M2,10053,1,1
AP1S1,1174,1,1
AP1S2,8905,1,1
AP3M2,10947,1,1
APBA3,9546,1,1
APBB2,323,1,1
APLN,8862,1,1
APLP1,333,1,1
APOA4,337,1,1
APOA5,116519,1,1
APOBEC3B,9582,1,1
APOBEC3G,60489,1,1
APOC1,341,1,1
APOC2,344,1,1
APOC3,345,1,1
APOH,350,1,1
APOLD1,81575,1,1
APOV1,396476,1,1
APPL2,55198,1,1
APRG1,339883,1,1
AQP11,282679,1,1
ARAF,369,1,1
ARAP2,116984,1,1
AREG,374,1,1
ARF3,377,1,1
ARFGAP1,55738,1,1
ARFGAP3,26286,1,1
ARFGEF1,10565,1,1
ARFGEF2,10564,1,1
ARFGEF3,57221,1,1
ARG2,384,1,1
ARHGAP11A,9824,1,1
ARHGAP17,55114,1,1
ARHGAP18,93663,1,1
ARHGAP19,84986,1,1
ARHGAP21,57584,1,1
ARHGAP27,201176,1,1
ARHGAP44,9912,1,1
ARHGAP45,23526,1,1
ARHGAP5-AS1,84837,1,1
ARHGEF16,27237,1,1
ARHGEF28,64283,1,1
ARHGEF3,50650,1,1
ARHGEF5,7984,1,1
ARID1A,8289,1,1
ARID2,196528,1,1
ARID4A,5926,1,1
ARL13B,200894,1,1
ARL15,54622,1,1
ARL4D,379,1,1
ARL6,84100,1,1
ARL6IP5,10550,1,1
ARMCX5,64860,1,1
ARMT1,79624,1,1
ARRB1,408,1,1
ARRDC2,27106,1,1
ARRDC3,57561,1,1
ARSA,410,1,1
ARSG,22901,1,1
ARSL,415,1,1
ART4,420,1,1
ARVCF,421,1,1
ASAH1,427,1,1
ASAP2,8853,1,1
ASB16,92591,1,1
ASB16-AS1,339201,1,1
ASB2,51676,1,1
ASB6,140459,1,1
ASB9,140462,1,1
ASCC3,10973,1,1
ASF1B,55723,1,1
ASGR1,432,1,1
ASL,435,1,1
ASPH,444,1,1
ASPHD1,253982,1,1
ASPM,259266,1,1
ASPRV1,151516,1,1
ASPSCR1,79058,1,1
ASRGL1,80150,1,1
ASS1,445,1,1
ASTE1,28990,1,1
ATF2,1386,1,1
ATF4,468,1,1
ATF6B,1388,1,1
ATF7IP,55729,1,1
ATG14,22863,1,1
ATG16L2,89849,1,1
ATG2A,23130,1,1
ATG3,64422,1,1
ATL1,51062,1,1
ATP13A1,57130,1,1
ATP1B3,483,1,1
ATP23,91419,1,1
ATP2A1,487,1,1
ATP2A2,488,1,1
ATP5F1A,498,1,1
ATP5F1B,506,1,1
ATP5MC1,516,1,1
ATP5MF,9551,1,1
ATP6V0B,533,1,1
ATP6V1E2,90423,1,1
ATP7A,538,1,1
ATP8B1,5205,1,1
ATP9A,10079,1,1
ATR,545,1,1
ATXN2,6311,1,1
AURKA,6790,1,1
AURKB,9212,1,1
AXL,558,1,1
B3GAT3,26229,1,1
B3GLCT,145173,1,1
B3GNTL1,146712,1,1
B4GALNT1,2583,1,1
B4GALT4,8702,1,1
BAAT,570,1,1
BACE1,23621,1,1
BAG2,9532,1,1
BAG4,9530,1,1
BAIAP2,10458,1,1
BAMBI,25805,1,1
BAZ1A,11177,1,1
BAZ2B,29994,1,1
BBS12,166379,1,1
BBS2,583,1,1
BBS4,585,1,1
BBS5,129880,1,1
BBS9,27241,1,1
BCAM,4059,1,1
BCAR1,9564,1,1
BCAR3,8412,1,1
BCAT1,586,1,1
BCKDHA,593,1,1
BCKDK,10295,1,1
BCL2A1,597,1,1
BCL2L14,79370,1,1
BCL2L15,440603,1,1
BCL2L2,599,1,1
BCL9,607,1,1
BCLAF1,9774,1,1
BCOR,54880,1,1
BCR,613,1,1
BDH1,622,1,1
BDKRB1,623,1,1
BDNF,627,1,1
BEND5,79656,1,1
BEX1,55859,1,1
BFAR,51283,1,1
BGN,633,1,1
BHMT2,23743,1,1
BIK,638,1,1
BIRC2,329,1,1
BIRC3,330,1,1
BIVM,54841,1,1
BLOC1S2,282991,1,1
BLTP1,84162,1,1
BLVRB,645,1,1
BMAL1,406,1,1
BMAL2,56938,1,1
BMERB1,89927,1,1
BMP1,649,1,1
BMP2K,55589,1,1
BMP3,651,1,1
BMP4,652,1,1
BMP8A,353500,1,1
BMP8B,656,1,1
BMPR1A,657,1,1
BMT2,154743,1,1
BNIP3L,665,1,1
BOP1,23246,1,1
BORA,79866,1,1
BORCS7,119032,1,1
BPIFB2,80341,1,1
BRAF,673,1,1
BRAP,8315,1,1
BRD2,6046,1,1
BRD7,29117,1,1
BRDT,676,1,1
BSCL2,26580,1,1
BSG,682,1,1
BSN,8927,1,1
BTBD2,55643,1,1
BTF3L4,91408,1,1
BTG1,694,1,1
BTG2,7832,1,1
C11ORF52,91894,1,1
C11ORF54,28970,1,1
C11ORF96,387763,1,1
C12ORF60,144608,1,1
C12ORF75,387882,1,1
C14ORF28,122525,1,1
C15ORF48,84419,1,1
C16ORF87,388272,1,1
C17ORF100,388327,1,1
C17ORF58,284018,1,1
C17ORF75,64149,1,1
C18ORF54,162681,1,1
C19ORF18,147685,1,1
C19ORF25,148223,1,1
C1D,10438,1,1
C1GALT1,56913,1,1
C1GALT1C1,29071,1,1
C1ORF115,79762,1,1
C1ORF162,128346,1,1
C1ORF216,127703,1,1
C1ORF226,400793,1,1
C1S,716,1,1
C2CD2,25966,1,1
C2CD4A,145741,1,1
C2ORF49,79074,1,1
C2ORF72,257407,1,1
C2ORF76,130355,1,1
C3ORF33,285315,1,1
C3ORF38,285237,1,1
C3ORF52,79669,1,1
C4BPA,722,1,1
C4BPB,725,1,1
C4ORF3,401152,1,1
C5,727,1,1
C5AR1,728,1,1
C5AR2,27202,1,1
C5ORF34,375444,1,1
C6ORF226,441150,1,1
C6ORF52,347744,1,1
C7ORF50,84310,1,1
C8A,731,1,1
C8B,732,1,1
C8G,733,1,1
C9ORF152,401546,1,1
C9ORF78,51759,1,1
C9ORF85,138241,1,1
CA2,760,1,1
CAAP1,79886,1,1
CABIN1,23523,1,1
CACNA1D,776,1,1
CACNG6,59285,1,1
CACYBP,27101,1,1
CAD,790,1,1
CALB1,793,1,1
CAMK1,8536,1,1
CAMK2A,815,1,1
CAMK2B,816,1,1
CAMKMT,79823,1,1
CAMSAP3,57662,1,1
CAMTA2,23125,1,1
CAND1,55832,1,1
CAPN15,6650,1,1
CAPRIN2,65981,1,1
CAR3,12350,1,1
CAR8,12319,1,1
CARNMT1,138199,1,1
CASD1,64921,1,1
CASKIN2,57513,1,1
CASP12,100506742,1,1
CASP14,23581,1,1
CASP2,835,1,1
CASP8AP2,9994,1,1
CATSPER3,347732,1,1
CAV2,858,1,1
CAVIN1,284119,1,1
CAVIN2,8436,1,1
CBR4,84869,1,1
CBS,875,1,1
CBX2,84733,1,1
CBX5,23468,1,1
CBX6,23466,1,1
CC2D1B,200014,1,1
CCDC126,90693,1,1
CCDC15,80071,1,1
CCDC17,149483,1,1
CCDC62,84660,1,1
CCDC68,80323,1,1
CCDC69,26112,1,1
CCDC81,60494,1,1
CCDC92,80212,1,1
CCHCR1,54535,1,1
CCKAR,886,1,1
CCL12,20293,1,1
CCL13,6357,1,1
CCL15,6359,1,1
CCL16,6360,1,1
CCN1,3491,1,1
CCNB1IP1,57820,1,1
CCNF,899,1,1
CCNG2,901,1,1
CCPG1,9236,1,1
CCR6,1235,1,1
CCR7,1236,1,1
CCR9,10803,1,1
CCRL2,9034,1,1
CCT5,22948,1,1
CD109,135228,1,1
CD151,977,1,1
CD24,100133941,1,1
CD2AP,23607,1,1
CD38,952,1,1
CD3D,915,1,1
CD46,4179,1,1
CD55,1604,1,1
CD58,965,1,1
CD59,966,1,1
CD7,924,1,1
CD83,9308,1,1
CD9,928,1,1
CD93,22918,1,1
CDA,978,1,1
CDC14A,8556,1,1
CDC16,8881,1,1
CDC25A,993,1,1
CDC27,996,1,1
CDC2L1,419406,1,1
CDC37,11140,1,1
CDC42,998,1,1
CDC42EP1,11135,1,1
CDC73,79577,1,1
CDCA3,83461,1,1
CDCA5,113130,1,1
CDCA7L,55536,1,1
CDH11,1009,1,1
CDH17,1015,1,1
CDIP1,29965,1,1
CDK10,8558,1,1
CDK11B,984,1,1
CDK13,8621,1,1
CDK5R1,8851,1,1
CDK5RAP2,55755,1,1
CDK8,1024,1,1
CDK9,1025,1,1
CDKAL1,54901,1,1
CDO1,1036,1,1
CDR2L,30850,1,1
CDRT4,284040,1,1
CDS1,1040,1,1
CDT1,81620,1,1
CEACAM5,1048,1,1
CEBPD,1052,1,1
CEL,1056,1,1
CELF1,10658,1,1
CELSR3,1951,1,1
CEMIP,57214,1,1
CEMIP2,23670,1,1
CENPA,1058,1,1
CENPC,1060,1,1
CENPE,1062,1,1
CENPI,2491,1,1
CENPJ,55835,1,1
CENPK,64105,1,1
CENPU,79682,1,1
CENPW,387103,1,1
CENPX,201254,1,1
CEP128,145508,1,1
CEP135,9662,1,1
CEP170,9859,1,1
CEP170B,283638,1,1
CEP68,23177,1,1
CEP70,80321,1,1
CEP72,55722,1,1
CEP78,84131,1,1
CEP83,51134,1,1
CEP89,84902,1,1
CEP95,90799,1,1
CES1C,13884,1,1
CES2,8824,1,1
CFAP251,144406,1,1
CFAP74,85452,1,1
CFI,3426,1,1
CFL1,1072,1,1
CFL2,1073,1,1
CGNL1,84952,1,1
CHAC2,494143,1,1
CHAF1A,10036,1,1
CHAF1B,8208,1,1
CHAMP1,283489,1,1
CHCHD10,400916,1,1
CHD1L,9557,1,1
CHD3,1107,1,1
CHD7,55636,1,1
CHIL3,12655,1,1
CHML,1122,1,1
CHN2,1124,1,1
CHORDC1,26973,1,1
CHPF,79586,1,1
CHRM1,1128,1,1
CHRM2,1129,1,1
CHRM3,1131,1,1
CHRM4,1132,1,1
CHRM5,1133,1,1
CHRNA10,57053,1,1
CHST13,166012,1,1
CHST14,113189,1,1
CHST15,51363,1,1
CHST3,9469,1,1
CHST5,23563,1,1
CHST9,83539,1,1
CHTF18,63922,1,1
CHTF8,54921,1,1
CIAPIN1,57019,1,1
CIB3,117286,1,1
CIC,23152,1,1
CIDEB,27141,1,1
CIDEC,63924,1,1
CIP2A,57650,1,1
CIPC,85457,1,1
CIRBP,1153,1,1
CIT,11113,1,1
CITED1,4435,1,1
CITED2,10370,1,1
CKLF,51192,1,1
CKM,1158,1,1
CLASP1,23332,1,1
CLASP2,23122,1,1
CLCN3,1182,1,1
CLCN5,1184,1,1
CLDN14,23562,1,1
CLDN23,137075,1,1
CLDN8,9073,1,1
CLGN,1047,1,1
CLIP2,7461,1,1
CLK1,1195,1,1
CLK3,1198,1,1
CLMN,79789,1,1
CLN3,1201,1,1
CLN5,1203,1,1
CLP1,10978,1,1
CLPX,10845,1,1
CLSPN,63967,1,1
CLTB,1212,1,1
CLTRN,57393,1,1
CLYBL,171425,1,1
CMBL,134147,1,1
CMPK2,129607,1,1
CMTM7,112616,1,1
CMTR2,55783,1,1
CNNM4,26504,1,1
CNOT8,9337,1,1
CNOT9,9125,1,1
CNTNAP1,8506,1,1
CNTRL,11064,1,1
COA7,65260,1,1
COBLL1,22837,1,1
COG5,10466,1,1
COG6,57511,1,1
COIL,8161,1,1
COL18A1,80781,1,1
COL1A2,1278,1,1
COL2A1,1280,1,1
COL6A3,1293,1,1
COL7A1,1294,1,1
COLEC12,81035,1,1
COMMD1,150684,1,1
COMMD10,51397,1,1
COMMD8,54951,1,1
COPE,11316,1,1
COPS2,9318,1,1
COPS4,51138,1,1
COPS5,10987,1,1
COPS8,10920,1,1
COQ10B,80219,1,1
CORO2A,7464,1,1
CORO2B,10391,1,1
COTL1,23406,1,1
COX11,1353,1,1
COX19,90639,1,1
COX2,4513,1,1
COX20,116228,1,1
COX3,4514,1,1
COX4,35279,1,1
COX5A,9377,1,1
COX5B,1329,1,1
COX6B1,1340,1,1
CPB2,1361,1,1
CPED1,79974,1,1
CPN1,1369,1,1
CPN2,1370,1,1
CPNE2,221184,1,1
CPQ,10404,1,1
CPS1,1373,1,1
CPT2,1376,1,1
CPVL,54504,1,1
CRACD,57482,1,1
CREB3L2,64764,1,1
CREB3L3,84699,1,1
CRELD2,79174,1,1
CRH,1392,1,1
CRIPT,9419,1,1
CRISP1,167,1,1
CRLF1,9244,1,1
CRLF3,51379,1,1
CRLS1,54675,1,1
CRYBG1,202,1,1
CRYGS,1427,1,1
CRYL1,51084,1,1
CRYM,1428,1,1
CSAD,51380,1,1
CSDE1,7812,1,1
CSF3R,1441,1,1
CSGALNACT1,55790,1,1
CSGALNACT2,55454,1,1
CSKMT,751071,1,1
CSN2,1447,1,1
CSNK2A3,283106,1,1
CSNK2B,1460,1,1
CSRP1,1465,1,1
CSRP2,1466,1,1
CSTA,1475,1,1
CTC1,80169,1,1
CTDSPL2,51496,1,1
CTHRC1,115908,1,1
CTNND1,1500,1,1
CTRL,1506,1,1
CTSC,1075,1,1
CTSO,1519,1,1
CTTN,2017,1,1
CTTNBP2,83992,1,1
CUEDC1,404093,1,1
CUEDC2,79004,1,1
CUTC,51076,1,1
CUX2,23316,1,1
CUZD1,50624,1,1
CX3CL1,6376,1,1
CXCL16,58191,1,1
CXCL8A,100002946,1,1
CYB561D1,284613,1,1
CYB5A,1528,1,1
CYB5R3,1727,1,1
CYBC1,79415,1,1
CYGB,114757,1,1
CYORF15A,100270688,1,1
CYP11B1,1584,1,1
CYP19A1A,30390,1,1
CYP26B1,56603,1,1
CYP27B1,1594,1,1
CYP2A13,1553,1,1
CYP2A4,13086,1,1
CYP2A6,1548,1,1
CYP2B13,13089,1,1
CYP2B2,361523,1,1
CYP2B7P,1556,1,1
CYP2B9,13094,1,1
CYP2C12,25011,1,1
CYP2C29,13095,1,1
CYP2C39,13098,1,1
CYP2C50,107141,1,1
CYP2C7,29298,1,1
CYP2D2,25053,1,1
CYP2D22,56448,1,1
CYP2S1,29785,1,1
CYP3A11,13112,1,1
CYP3A13,13113,1,1
CYP3A2,266682,1,1
CYP3A59,100041449,1,1
CYP4A10,13117,1,1
CYP4A14,13119,1,1
CYP4A31,666168,1,1
CYP4F11,57834,1,1
CYP8B1,1582,1,1
CYTB,4519,1,1
DAB2,1601,1,1
DAB2IP,153090,1,1
DAF-16,172981,1,1
DAF-2,175410,1,1
DAP,1611,1,1
DAPK1,1612,1,1
DAPK3,1613,1,1
DARS1,1615,1,1
DAXX,1616,1,1
DBH-AS1,138948,1,1
DBN1,1627,1,1
DBR1,51163,1,1
DCAF16,54876,1,1
DCAF6,55827,1,1
DCBLD2,131566,1,1
DCC,1630,1,1
DCDC2,51473,1,1
DCK,1633,1,1
DCP1A,55802,1,1
DCP1B,196513,1,1
DCPS,28960,1,1
DCUN1D2,55208,1,1
DCUN1D5,84259,1,1
DDB2,1643,1,1
DDC,1644,1,1
DDIAS,220042,1,1
DDIT4L,115265,1,1
DDX11,1663,1,1
DDX17,10521,1,1
DDX19B,11269,1,1
DDX20,11218,1,1
DDX26B,102865995,1,1
DDX39A,10212,1,1
DDX42,11325,1,1
DDX5,1655,1,1
DDX52,11056,1,1
DDX54,79039,1,1
DDX59,83479,1,1
DECR1,1666,1,1
DEF8,54849,1,1
DELE1,9812,1,1
DENND1A,57706,1,1
DEPDC1,55635,1,1
DEPDC7,91614,1,1
DEPP1,11067,1,1
DEPTOR,64798,1,1
DES,1674,1,1
DFFB,1677,1,1
DGAT2,84649,1,1
DGCR8,54487,1,1
DGKA,1606,1,1
DGKG,1608,1,1
DGKQ,1609,1,1
DHCR24,1718,1,1
DHFR2,200895,1,1
DHRS13,147015,1,1
DHRS4,10901,1,1
DHRS7,51635,1,1
DHX29,54505,1,1
DHX38,9785,1,1
DHX40,79665,1,1
DIMT1L,445162,1,1
DIO2,1734,1,1
DIP2A,23181,1,1
DKK1B,30197,1,1
DKK4,27121,1,1
DLD,1738,1,1
DLG1,1739,1,1
DLX2,1746,1,1
DLX6,1750,1,1
DMXL2,23312,1,1
DNAAF2,55172,1,1
DNAJA1,3301,1,1
DNAJB2,3300,1,1
DNAJB4,11080,1,1
DNAJC1,64215,1,1
DNAJC12,56521,1,1
DNAJC2,27000,1,1
DNAJC3,5611,1,1
DNASE1,1773,1,1
DNASE1L1,1774,1,1
DNASE1L3,1776,1,1
DNHD1,144132,1,1
DNLZ,728489,1,1
DNTTIP2,30836,1,1
DOCK10,55619,1,1
DOCK4,9732,1,1
DOCK5,80005,1,1
DOK6,220164,1,1
DOLK,22845,1,1
DOP1A,23033,1,1
DPF2,5977,1,1
DPH3,285381,1,1
DPH6,89978,1,1
DPM2,8818,1,1
DPM3,54344,1,1
DPY30,84661,1,1
DPYD,1806,1,1
DPYSL2,1808,1,1
DPYSL3,1809,1,1
DPYSL4,10570,1,1
DRAM1,55332,1,1
DRAP1,10589,1,1
DRD1,1812,1,1
DRD2,1813,1,1
DRD3,1814,1,1
DRD4,1815,1,1
DRD5,1816,1,1
DRG2,1819,1,1
DROSHA,29102,1,1
DSC2,1824,1,1
DSCC1,79075,1,1
DSE,29940,1,1
DST,667,1,1
DSTN,11034,1,1
DTD2,112487,1,1
DTL,51514,1,1
DUSP28,285193,1,1
DUSP4,1846,1,1
DUSP5,1847,1,1
DUSP6,1848,1,1
DYDC2,84332,1,1
DYNC1H1,1778,1,1
DYNC1LI2,1783,1,1
DYNC2I2,89891,1,1
DYNLL1,8655,1,1
DYNLT2B,255758,1,1
DYNLT3,6990,1,1
E2F3,1871,1,1
E2F7,144455,1,1
EAF2,55840,1,1
ECD,11319,1,1
ECH1,1891,1,1
ECHDC1,55862,1,1
ECHDC3,79746,1,1
ECI2,10455,1,1
ECT2,1894,1,1
EDA2R,60401,1,1
EDAR,10913,1,1
EDC3,80153,1,1
EEF1A2,1917,1,1
EEF1AKMT1,221143,1,1
EEF1AKMT2,399818,1,1
EEF1AKMT3,25895,1,1
EEF1B2,1933,1,1
EEIG1,399665,1,1
EEIG2,284611,1,1
EFCAB11,90141,1,1
EFCAB7,84455,1,1
EFCAB8,388795,1,1
EFEMP1,2202,1,1
EFNA1,1942,1,1
EFNA4,1945,1,1
EFNB2,1948,1,1
EFR3A,23167,1,1
EGLN3,112399,1,1
EGR3,1960,1,1
EGR4,1961,1,1
EHBP1,23301,1,1
EHBP1L1,254102,1,1
EID2B,126272,1,1
EID3,493861,1,1
EIF1,10209,1,1
EIF2AK2,5610,1,1
EIF2B2,8892,1,1
EIF2S2,8894,1,1
EIF3A,8661,1,1
EIF3B,8662,1,1
EIF3F,8665,1,1
EIF4A1,1973,1,1
EIF4E2,9470,1,1
EIF5,1983,1,1
ELF3,1999,1,1
ELF4,2000,1,1
ELK4,2005,1,1
ELL2,22936,1,1
ELMOD2,255520,1,1
ELOB,6923,1,1
ELOVL1,64834,1,1
ELOVL3,83401,1,1
ELOVL6,79071,1,1
ELP1,8518,1,1
EML2,24139,1,1
ENAH,55740,1,1
ENDOD1,23052,1,1
ENOSF1,55556,1,1
ENPP1,5167,1,1
ENPP2,5168,1,1
ENSA,2029,1,1
ENTPD5,957,1,1
ENTR1,10807,1,1
EOGT,285203,1,1
EP400,57634,1,1
EPB41L1,2036,1,1
EPB41L4A-AS1,114915,1,1
EPB41L5,57669,1,1
EPHB4,2050,1,1
EPN3,55040,1,1
EPS15,2060,1,1
EPS15L1,58513,1,1
EPS8,2059,1,1
EPS8L2,64787,1,1
ERCC2,2068,1,1
ERCC3,2071,1,1
ERCC5,2073,1,1
ERCC6L,54821,1,1
EREG,2069,1,1
ERF,2077,1,1
ERG28,11161,1,1
ERGIC2,51290,1,1
ERI2,112479,1,1
ERN2,10595,1,1
ERP27,121506,1,1
ESAM,90952,1,1
ESM1,11082,1,1
ESPN,83715,1,1
ESR2A,317734,1,1
ESR2B,317733,1,1
ESRP1,54845,1,1
ESS2,8220,1,1
ETFB,2109,1,1
ETNPPL,64850,1,1
ETS2,2114,1,1
ETV4,2118,1,1
ETV5,2119,1,1
EVA1B,55194,1,1
EVI1,733318,1,1
EXOC2,55770,1,1
EXOC5,10640,1,1
EXOC6,54536,1,1
EXOC8,149371,1,1
EXOSC8,11340,1,1
EXOSC9,5393,1,1
EXTL2,2135,1,1
EZH2,2146,1,1
F10,2159,1,1
F11R,50848,1,1
F2R,2149,1,1
F2RL2,2151,1,1
F7,2155,1,1
FABP5,2171,1,1
FABP6,2172,1,1
FADS3,3995,1,1
FAH,2184,1,1
FAHD2A,51011,1,1
FAM110B,90362,1,1
FAM114A1,92689,1,1
FAM117A,81558,1,1
FAM117B,150864,1,1
FAM120C,54954,1,1
FAM135A,57579,1,1
FAM13A,10144,1,1
FAM13B,51306,1,1
FAM13C,220965,1,1
FAM161A,84140,1,1
FAM162A,26355,1,1
FAM171A1,221061,1,1
FAM174A,345757,1,1
FAM177A1,283635,1,1
FAM193A,8603,1,1
FAM193B,54540,1,1
FAM200C,63920,1,1
FAM209A,200232,1,1
FAM209B,388799,1,1
FAM216A,29902,1,1
FAM222A,84915,1,1
FAM228B,375190,1,1
FAM234B,57613,1,1
FAM3B,54097,1,1
FAM3C,10447,1,1
FAM43A,131583,1,1
FAM53B,9679,1,1
FAM83D,81610,1,1
FAM98A,25940,1,1
FAM98B,283742,1,1
FAN1,22909,1,1
FANCB,2187,1,1
FANCG,2189,1,1
FANCI,55215,1,1
FANCL,55120,1,1
FARP2,9855,1,1
FASTKD1,79675,1,1
FASTKD2,22868,1,1
FAT1,2195,1,1
FBLN2,2199,1,1
FBP1,2203,1,1
FBXL2,25827,1,1
FBXL21P,26223,1,1
FBXL6,26233,1,1
FBXO10,26267,1,1
FBXO17,115290,1,1
FBXO2,26232,1,1
FBXO25,26260,1,1
FBXO28,23219,1,1
FBXO3,26273,1,1
FBXO30,84085,1,1
FBXO31,79791,1,1
FBXO41,150726,1,1
FBXO5,26271,1,1
FBXW7,55294,1,1
FCER1G,2207,1,1
FCGR2B,2213,1,1
FCHSD1,89848,1,1
FCHSD2,9873,1,1
FDCSP,260436,1,1
FDXR,2232,1,1
FEM1C,56929,1,1
FERMT1,55612,1,1
FERMT2,10979,1,1
FEZ2,9637,1,1
FGA,2243,1,1
FGB,2244,1,1
FGD6,55785,1,1
FGF1,2246,1,1
FGF2,2247,1,1
FGF3,2248,1,1
FGF7,2252,1,1
FGFBP3,143282,1,1
FGFR1OP2,26127,1,1
FGFR3,2261,1,1
FGFR4,2264,1,1
FGG,2266,1,1
FGL2,10875,1,1
FH,2271,1,1
FHIT,2272,1,1
FHL1,2273,1,1
FIG4,9896,1,1
FIGN,55137,1,1
FIGNL1,63979,1,1
FILIP1L,11259,1,1
FIT1,38488,1,1
FKBP10,60681,1,1
FKBP8,23770,1,1
FLAD1,80308,1,1
FLCN,201163,1,1
FLG,2312,1,1
FLNA,2316,1,1
FLNB,2317,1,1
FLRT3,23767,1,1
FLT1,2321,1,1
FLT4,2324,1,1
FLVCR2,55640,1,1
FMC1,154791,1,1
FMO1,2326,1,1
FMR1,2332,1,1
FNBP1,23048,1,1
FNBP4,23360,1,1
FNDC3B,64778,1,1
FNIP2,57600,1,1
FNTA,2339,1,1
FOXA3,3171,1,1
FOXM1,2305,1,1
FOXN3,1112,1,1
FOXP1,27086,1,1
FPGT,8790,1,1
FPR2,2358,1,1
FRAT1,10023,1,1
FRAT2,23401,1,1
FREM1,158326,1,1
FRK,2444,1,1
FRMD3,257019,1,1
FRMD4B,23150,1,1
FRMD5,84978,1,1
FRZB,2487,1,1
FSTL3,10272,1,1
FTCD,10841,1,1
FTSJ3,117246,1,1
FUBP3,8939,1,1
FUT11,170384,1,1
FUT6,2528,1,1
FUT8,2530,1,1
FXR1,8087,1,1
FXYD1,5348,1,1
FXYD2,486,1,1
FXYD5,53827,1,1
FYN,2534,1,0
FZD2,2535,1,1
FZD4,8322,1,1
FZD7,8324,1,1
G0S2,50486,1,1
G2E3,55632,1,1
G6PC1,2538,1,1
GAA,2548,1,1
GAB2,9846,1,1
GABBR2,9568,1,1
GABPB2,126626,1,1
GABRB1,2560,1,1
GABRB3,2562,1,1
GABRE,2564,1,1
GAD1,2571,1,1
GADD45,35646,1,1
GAL3ST1,9514,1,1
GALK2,2585,1,1
GALM,130589,1,1
GALNT1,2589,1,1
GALNT10,55568,1,1
GALNT11,63917,1,1
GALNT3,2591,1,1
GALR2,8811,1,1
GALR3,8484,1,1
GAN,8139,1,1
GAP43,2596,1,1
GAPVD1,26130,1,1
GAREM1,64762,1,1
GAS2,2620,1,1
GAS2L3,283431,1,1
GAS6,2621,1,1
GASK1B,51313,1,1
GATA4,2626,1,1
GATA6,2627,1,1
GATM,2628,1,1
GBE1,2632,1,1
GCA,25801,1,1
GCFC2,6936,1,1
GCK,2645,1,1
GCKR,2646,1,1
GCNA,93953,1,1
GCNT2,2651,1,1
GCNT3,9245,1,1
GCOM1,145781,1,1
GDA,9615,1,1
GDF11,10220,1,1
GDI1,2664,1,1
GDPD5,81544,1,1
GEM,2669,1,1
GEMIN2,8487,1,1
GEMIN6,79833,1,1
GET1,7485,1,1
GFAP,2670,1,1
GFM1,85476,1,1
GFOD1,54438,1,1
GFPT1,2673,1,1
GGH,8836,1,1
GGT1,2678,1,1
GHDC,84514,1,1
GHRL,51738,1,0
GIMAP6,474344,1,1
GINS4,84296,1,1
GIPC1,10755,1,1
GIPC2,54810,1,1
GJA5,2702,1,1
GJB1,2705,1,1
GLA,2717,1,1
GLCCI1,113263,1,1
GLCE,26035,1,1
GLMN,11146,1,1
GLMP,112770,1,1
GLO1,2739,1,1
GLRX2,51022,1,1
GLS2,27165,1,1
GLT8D1,55830,1,1
GLTPD2,388323,1,1
GLUD1,2746,1,1
GLUD2,2747,1,1
GMDS,2762,1,1
GMFG,9535,1,1
GMPPB,29925,1,1
GNA13,10672,1,1
GNA15,2769,1,1
GNAI1,2770,1,1
