## Torsion are defined with the following atomIDs:
# dihed1: ai= 4079 aj= 2050 ak= 2061 al= 2065
# dihed2: ai= 2062 aj= 2063 ak= 2052 al= 4080
# dihed3: ai= 2048 aj= 2057 ak= 2058 al= 2064
# dihed4: ai= 2060 aj= 2059 ak= 2049 al= 4078
# dihed5: ai= 2069 aj= 2067 ak= 2053 al= 4081
# dihed6: ai= 2067 aj= 2069 ak= 2054 al= 4082
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
104  179.704  169.979   86.919    8.075   -2.476  167.930
105 -172.848 -171.800   50.078    8.530    1.034  169.761
106 -172.276  175.175   51.548   13.505   -6.855  155.578
107 -172.076 -173.559   38.906    6.329    2.574 -168.998
108 -174.249 -170.482   65.032   19.800   -3.475  158.637
109  179.438  179.801   49.004   10.251   -7.221  168.837
110  177.411 -165.799   75.596   -7.317  -11.367 -148.071
111 -166.861  168.108   81.381   34.221  -10.879 -147.572
112 -171.351 -179.767   72.042   12.250  -35.495 -158.347
113  175.555 -148.265   73.926   15.467    9.340 -114.057
114 -169.044 -168.697   55.420   38.494   -0.530 -169.824
115 -176.366 -160.790   47.227   12.131  -22.425  157.140
116  163.134 -170.409   45.352    8.116    8.598 -151.764
117  179.715  153.614   56.354   24.447  -18.477 -150.563
118  171.885 -165.101   56.432   -2.608   -4.388  167.606
119  179.756 -156.537   58.061   24.242   22.521  172.872
120  173.415 -176.839   54.213   -6.953   43.129  175.044
121 -162.952 -164.558   64.055   20.148   15.812  163.885
122  173.138  179.983   46.469    9.880  -54.728  160.956
123 -174.736  175.577   57.533   26.874  -16.172  163.299
124  177.445 -150.574   57.325   34.183    1.541 -179.230
125  172.402  168.364   61.065   37.237    6.347  168.240
126 -173.456 -173.599   62.082   -8.011   12.359  160.063
127  171.849  176.611   52.629   18.365   18.580 -155.647
128 -172.533 -166.296   62.134   25.472   -1.774 -178.700
129  179.045  178.432   58.597   12.432   -1.323  148.653
130 -172.711 -165.775   57.006    6.666    3.485  170.918
131 -179.097 -176.618   73.957    0.910  -10.225  140.357
132  170.725  178.474   56.400    4.457   -9.786 -178.806
133  172.386 -178.605   43.604   -4.303    6.306 -170.651
134  178.943  172.466   62.135   -5.672    6.571 -170.822
135  174.561  175.628   59.561   -6.032   19.238  164.910
136  171.407 -176.635   51.714   13.493   21.035  175.461
137 -172.139 -169.692   52.758   -5.957   -3.274 -178.589
138 -165.681 -173.592   52.426   -1.538   12.574 -175.351
139  177.596 -173.310   53.350   -9.121   13.058  172.983
140  170.816  144.185   94.151   17.215  -11.341 -163.745
141 -173.602  172.237   72.023   -4.891   -8.813  179.388
142 -176.891 -176.008   53.748   18.374   -5.256 -170.561
143 -166.119 -178.896   55.088   -4.411   -5.018  143.884
144 -173.258 -158.864   41.918   43.615   -0.077 -159.799
145 -161.353 -165.230   52.075   12.751  -33.198 -178.996
146 -166.588 -156.988   61.566   24.107  -10.344  165.350
147 -167.802  179.093   73.043   29.030   21.059  179.487
148 -163.108  159.084   71.453   27.903    4.767  171.540
149  170.028  163.565   59.428    6.680    6.363  164.255
150 -171.906 -178.825   62.399   56.622  -25.845  169.005
151 -175.565  170.051   67.792   17.179    3.134 -178.483
152 -177.005  178.293   53.119   12.978   -7.494 -168.117
153  165.840  -32.520   58.266   11.375   29.653  159.813
154  170.152  -27.515   56.250   12.126  -16.484 -175.556
155 -162.712  -17.581   60.125   24.674  -57.298  165.355
156 -162.941  -52.166   46.059    9.242   17.151 -174.913
157 -138.770  -33.105   64.991   28.745   -8.390  171.838
158 -172.597  -26.473   48.992   14.430   16.005  167.017
159 -162.283  -17.092   37.612   12.620    1.584 -151.591
160  172.025  -14.581   43.076    1.422   -6.874  171.958
161 -162.089  -21.391   40.303   12.929  -28.947 -154.140
162  171.817  -45.421   64.815   12.167   -7.638  167.499
163 -169.333  -30.752   56.565   18.506   25.911 -159.634
164 -139.073  -29.955   46.551    2.915   -2.668 -153.502
165 -173.050  -21.011   39.735   22.331   -5.016  161.911
166 -176.269  -23.927   52.477    4.322   -0.027 -178.482
167  165.314  -28.922   59.421   15.140   22.181  155.010
168 -155.027  -32.474   55.256    1.759   19.519  169.103
169 -165.552  -36.717   64.121    6.855    7.986 -171.554
170 -171.870  -20.474   55.768   11.558    3.338 -142.829
171  177.306  -31.694   54.392   30.693   -1.700 -155.230
172 -170.388  -39.099   61.262   17.470   34.589 -173.417
173 -163.401  -32.997   57.401   -7.121   44.421  169.963
174 -177.002  -27.526   44.887    8.892  -14.910 -177.769
175 -171.896  -34.781   48.196    9.878   25.849 -169.302
176 -170.592  -37.437   62.996   10.624   25.066  153.767
177  176.985   -7.464   57.945   14.940   20.626  165.837
178  170.588  -33.857   58.446    1.864   -7.026  167.091
179 -178.269  -19.837   44.778    9.177  -15.640  179.539
180 -168.707  -37.321   52.160   42.859   54.369 -161.282
181  175.566  -31.478   74.682   25.162   -3.071 -175.213
182 -169.821  -24.198   43.105   10.082   28.862 -177.107
183 -179.545  -18.084   46.885    4.342   49.022  144.248
184  179.000  -22.077   49.135    7.431    4.868  155.665
185 -169.269  -35.616   45.131   -6.719   -5.089  178.875
186 -172.448  -29.508   61.467    8.861 -123.710  170.182
187 -167.941  -32.276   53.001   -5.381 -142.745 -164.313
188  175.286  -26.748   58.084   22.666    8.780 -175.698
189 -167.054  -33.739   57.715   12.465   25.064  171.763
190 -168.067  -17.189   57.902   15.888   35.823  177.806
191 -177.560  -24.604   61.007   17.335    5.692 -172.883
192  179.060  -21.556   41.260    7.941   36.911 -172.717
193 -178.911  -26.571   48.397    8.776    0.654 -170.044
194  172.678  -17.625   49.454   -3.043   13.473  153.466
195 -176.105  -22.748   49.203   22.926   36.842  160.168
196 -172.606  -31.770   60.904    3.357   -8.982  156.131
197 -174.048  -27.344   72.566   -1.098   23.210 -175.398
198 -166.733  -26.087   45.991    3.342   53.616  177.954
199  164.593  -16.928   56.260   39.283  -17.871 -175.615
200 -179.331  -19.279   42.949    8.814   10.929 -179.736
201 -162.878  -23.116   38.719   15.619  -22.404  160.654
202 -157.616  -33.847   61.065   -0.736    3.485  167.775
203 -176.233  -10.035   68.184   -1.516  -11.175  158.671
204 -167.562  -17.959   52.130   12.691    3.842  166.303
205 -161.648  -28.796   40.734   30.679   -0.311 -168.350
206 -156.890  -12.122   57.138   18.215   13.101  166.197
207 -166.863  -53.307   51.687    4.635  -19.653 -179.556
208 -175.484  -28.989   53.190   22.929   26.550  175.638
209  177.218  -30.414   54.670    6.062   47.812  163.361
210 -172.958  -39.247   59.038    9.737  -11.386 -176.927
