  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.246        3.730            1      252.630       68.095      273.646
      127        0.240        3.764            1      255.179       67.816      277.844
      128        0.273        3.720            1      253.500       71.945      276.252
      129        0.136        3.737            1      253.047       60.431      278.548
      130        0.168        3.708            1      252.516       65.691      277.181
      131        0.244        3.733            1      255.092       70.859      281.280
      132        0.274        3.740            1      252.023       60.989      272.807
      133        0.196        3.734            1      254.406       46.506      277.480
      134        0.162        3.748            1      254.126       50.792      274.096
      135        0.259        3.715            1      253.700       70.243      277.698
      136        0.212        3.768            1      254.835       54.990      277.879
      137        0.188        3.711            1      251.179       33.126      275.073
      138        0.207        3.757            1      253.008       52.179      273.260
      139        0.192        3.763            1      254.333       47.044      275.615
      140        0.422        3.761            1      253.831       35.744      278.444
      141        0.251        3.713            1      251.742       50.353      278.891
      142        0.251        3.736            1      253.314       39.869      273.695
      143        0.202        3.748            1      253.773       56.493      277.804
      144        0.226        3.733            1      251.685       55.171      273.109
      145        0.236        3.742            1      253.523       52.918      279.304
      146        0.163        3.790            1      255.680       50.315      277.097
      147        0.210        3.780            1      256.833       47.630      281.356
      148        0.295        3.779            1      254.753       71.560      279.802
      149        0.254        3.709            1      253.733       62.247      278.395
      150        0.342        3.724            1      254.707       64.352      278.214
      151        0.237        3.720            1      254.835       55.277      277.492
      152        0.242        3.721            1      252.308       58.466      276.061
      153        0.218        3.714            1      255.517       90.443      280.157
      154        0.204        3.752            1      256.317       76.992      279.412
      155        0.229        3.718            1      252.598       67.796      276.800
      156        0.231        3.737            1      255.065       65.311      274.795
      157        0.178        3.723            0      254.200       76.539      278.091
      158        0.139        3.716            1      253.758       78.950      279.000
      159        0.245        3.704            1      252.943       64.215      274.209
      160        0.202        3.733            1      252.304       44.515      274.248
      161        0.257        3.740            1      253.861       44.878      276.758
      162        0.185        3.749            1      255.929       48.472      276.336
      163        0.251        3.771            1      255.149       32.537      276.957
      164        0.169        3.695            0      251.925       41.963      271.576
      165        0.254        3.741            1      253.435       66.832      274.346
      166        0.204        3.715            1      251.205       69.980      273.455
      167        0.236        3.741            1      255.241       45.421      274.796
      168        0.220        3.756            1      254.697       49.862      280.549
      169        0.298        3.678            1      253.388       60.118      279.788
      170        0.196        3.738            1      254.688       52.277      277.761
      171        0.312        3.743            1      254.280       53.501      274.360
      172        0.282        3.711            1      254.504       52.173      279.415
      173        0.202        3.761            1      256.068       71.880      275.534
      174        0.248        3.749            1      253.469       73.144      274.980
      175        0.159        3.718            1      252.197       64.828      272.096
      176        0.145        3.729            1      253.775       79.105      278.002
      177        0.136        3.724            1      254.204       64.503      275.548
